dataset	n_rows	n_columns
ds005530	19	3
ds001306	18	4
ds003517	18	4
ds003076	18	2
ds004105	18	4
ds005964	18	6
ds006459	18	9
ds004785	18	1
ds000116	18	5
ds000002	18	3
ds004230	18	3
ds006673	18	14
ds004733	18	4
ds005295	18	4
ds004661	18	1
ds000122	18	3
ds006903	18	14
ds003171	18	1
ds004980	18	5
ds006483	18	4
ds001525	18	4
ds004844	18	1
ds006460	18	9
ds000117	18	4
ds005261	18	3
ds000005	17	3
ds004357	17	6
ds000001	17	3
ds004493	17	4
ds005594	17	18
ds005483	17	4
ds005127	17	4
ds004554	17	1
ds004018	17	4
ds005148	17	2
ds000138	17	3
ds006833	17	4
ds005186	17	5
ds005783	17	4
ds005371	17	6
ds006840	16	6
ds003194	16	2
ds004752	16	7
ds005009	16	3
ds003965	16	2
ds005429	16	4
ds004798	16	4
ds004956	16	4
ds004489	16	8
ds004816	16	6
ds000149	16	3
ds002711	16	3
ds000229	16	4
ds003758	16	3
ds002034	16	3
ds004645	16	3
ds006893	16	3
ds004254	16	5
ds004656	16	28
ds000170	16	4
ds001344	16	3
ds003397	16	43
ds004483	15	4
ds007156	15	4
ds006444	15	6
ds004842	15	1
ds003834	15	3
ds000200	15	9
ds005777	15	3
ds003922	15	4
ds000006	15	3
ds004194	15	9
ds005077	15	3
ds004774	15	3
ds001784	15	16
ds004843	15	1
ds007048	15	3
ds002680	15	2
ds000011	15	3
ds000008	15	3
ds000254	14	4
ds002685	14	4
ds001511	14	3
ds003425	14	5
ds000003	14	3
ds004024	14	4
ds000172	14	3
ds003710	14	7
ds003061	14	5
ds003800	14	5
ds003452	14	3
ds003524	14	4
ds005448	14	4
ds006005	14	3
ds004929	13	1
ds004147	13	8
ds000244	13	4
ds005930	13	1
ds004301	13	4
ds006563	13	1
ds004078	13	4
ds003812	13	3
ds004306	13	6
ds003633	13	4
ds004514	13	4
ds003392	13	4
ds003437	13	3
ds001345	13	3
ds005355	13	3
ds001743	13	14
ds004830	13	1
ds003380	13	3
ds000233	13	4
ds004698	13	4
ds003858	13	4
ds005238	12	4
ds003047	12	3
ds000205	12	2
ds004401	12	3
ds002702	12	2
ds004632	12	7
ds004951	12	4
ds005776	12	1
ds007109	12	4
ds007034	12	4
ds005525	12	3
