participant_id	family_id	twin_id	zygosity	sex	age
sub-P989301	35298	MZ3529820	MZ	F	36
sub-P974100	55263	MZ5526320	MZ	F	36
sub-P533661	24034	MZ2403410	MZ	F	35
sub-P762124	24034	MZ2403420	MZ	F	35
sub-P669390	21249	MZ2124921	MZ	M	35
sub-P519123	21468	MZ2146821	MZ	M	39
sub-P871359	35298	MZ3529810	MZ	F	36
sub-P255266	21468	MZ2146811	MZ	M	39
sub-P845588	49157	DZ4915711	DZ	M	77
sub-P137862	26135	MZ2613520	MZ	F	38
sub-P880258	14475	DZ1447511	DZ	M	35
sub-P708396	22881	MZ2288110	MZ	F	36
sub-P514331	60588	DZ6058811	DZ	M	40
sub-P802002	26766	OS2676611	OS	M	41
sub-P202099	32392	OS3239211	OS	M	36
sub-P884340	15921	DZ1592110	DZ	F	38
sub-P934776	14442	MZ1444221	MZ	M	41
sub-P298302	21298	MZ2129821	MZ	M	41
sub-P326737	21298	MZ2129811	MZ	M	41
sub-P913611	66846	DZ6684611	DZ	M	34
sub-P410965	15921	DZ1592120	DZ	F	38
sub-P151185	57392	OS5739221	OS	M	41
sub-P743398	24044	OS2404410	OS	F	36
sub-P472976	71968	MZ7196811	MZ	M	39
sub-P529382	68819	DZ6881910	DZ	F	33
sub-P550508	66846	DZ6684621	DZ	M	34
sub-P475805	83302	OS8330210	OS	F	34
sub-P361436	65992	DZ6599220	DZ	F	33
sub-P910639	55668	OS5566810	OS	F	34
sub-P701908	68819	DZ6881920	DZ	F	33
sub-P906165	24044	OS2404421	OS	M	36
sub-P325170	75971	DZ7597110	DZ	F	41
sub-P927838	55668	OS5566821	OS	M	34
sub-P876344	60516	MZ6051610	MZ	F	39
sub-P555476	98044	MZ9804410	MZ	F	32
sub-P611111	23240	OS2324011	OS	M	35
sub-P203439	24955	MZ2495520	MZ	F	32
sub-P785904	24955	MZ2495510	MZ	F	34
sub-P255902	98044	MZ9804420	MZ	F	32
sub-P580452	64001	MZ6400121	MZ	M	42
